;;;;;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Merensky;Supplier;Merensky;Supplier;Merensky;Supplier;Merensky;Supplier;Merensky;Supplier;Busby;Supplier;Busby;Supplier;Busby;Supplier;Busby;Supplier;R.F Gevers (Pty) Ltd;Supplier;R.F Gevers (Pty) Ltd;Supplier;R.F Gevers (Pty) Ltd;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;White River Sawmills;Supplier;White River Sawmills;Supplier;Komati;Supplier;O2 Wood;Supplier;C&G Timbers;Supplier;Timber Junction;Supplier;Safind Forest Products;Supplier;The Lumber Yard;Supplier;The Lumber Yard;Supplier;MTO Forestry;System Price;System Price;System Price;System Price;System Price;System Price;;System Price;System Price;System Price
;;;;;Date;01 01 2018;Date;01 01 2019;Date;01 01 2020;Date;01 01 2021;Date;01 06 2021;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2018;Date;01 01 2019;Date;01 01 2020;Date;01 01 2021;Date;01 06 2021;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2019;Date;01 01 2020;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2019;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2019;Date;01 01 2021;Date;01 01 2023;Date;01 01 2019;Date;01 01 2020;Date;01 01 2021;Date;01 06 2021;Date;01 01 2023;Date;01 10 2025;Date;01 01 2020;Date;01 01 2021;Date;01 01 2018;Date;01 01 2018;Date;01 01 2019;Date;01 01 2019;Date;01 01 2019;Date;01 01 2019;Date;01 01 2020;Date;01 10 2025;01 01 2019;01 01 2020;01 01 2021;01 01 2022;01 06 2022;01 01 2023;;01 01 2024;01 01 2025;01 10 2025
W;H;GRADE;Mł;LENGTH;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/Mł;R/M;R/M;R/M;R/M;R/M;R/M;R/M;;R/M;R/M;R/M
38,000;38,000;BBB;0,001444;3.0 - 5.4;R 3 865,00;R 5,58;R 3 990,00;R 5,76;R 4 008,00;R 5,79;R 4 356,00;R 6,29;R 4 742,00;R 6,85;R 4 845,00;R 7,00;R 5 120,00;R 7,39;R 5 426,00;R 7,84;R 3 880,00;R 5,60;R 4 040,00;R 5,83;R 4 141,00;R 5,98;R 4 350,00;R 6,28;R 4 570,00;R 6,60;R 4 620,00;R 6,67;R 5 000,00;R 7,22;R 5 205,00;R 7,52;R 4 323,00;R 6,24;R 4 379,00;R 6,32;R 4 425,00;R 6,39;R 4 832,00;R 6,98;R 5 056,00;R 7,30;R 4 012,00;R 5,79;R 4 610,00;R 6,66;R 4 794,00;R 6,92;R 5 035,00;R 7,27;R 2 500,00;R 3,61;R 5 305,00;R 7,66;R 5 143,00;R 7,43;R 3 478,00;R 5,02;R 4 655,00;R 6,72;R 4 900,00;R 7,08;R 5 350,00;;R 5 600,00;R 8,09;R 5 605,00;R 8,09;R 4 650,00;R 6,71;R 4 790,00;;R 3 160,00;R 19 981,55;R 4 330,00;R 27 379,79;R 3 988,00;R 5,76;R 4 150,00;R 5,99;R 3 880,00;R 5,60;R 4 017,00;R 5,80;R 4 364,00;R 6,30;R 5 155,00;R 7,44;6,22;6,59;6,93;7,38;6,85;7,36;;7,10;7,48;8,14
38,000;38,000;BBB;0,001444;6.0 - 6.6;R 4 105,00;R 5,93;R 4 220,00;R 6,09;R 4 276,00;R 6,17;R 4 546,00;R 6,56;R 4 931,00;R 7,12;R 4 900,00;R 7,08;R 4 956,00;R 7,16;R 5 572,00;R 8,05;R 3 880,00;R 5,60;R 4 040,00;R 5,83;R 4 230,00;R 6,11;R 4 445,00;R 6,42;R 4 670,00;R 6,74;R 4 760,00;R 6,87;R 5 155,00;R 7,44;R 5 365,00;R 7,75;R 4 637,00;R 6,70;R 4 841,00;R 6,99;R 4 833,00;R 6,98;R 5 287,00;R 7,63;R 5 581,00;R 8,06;R 4 012,00;R 5,79;R 4 735,00;R 6,84; R4 924,00 ;R 7,11; R5 175,00 ;R 7,47;R 4 485,00;R 6,48;R 5 305,00;R 7,66;R 5 530,00;R 7,99;R 4 371,00;R 6,31;R 4 655,00;R 6,72;R 4 900,00;R 7,08;R 5 400,00;;R 5 700,00;R 8,23;R 5 985,00;R 8,64;R 4 650,00;R 6,71;R 4 790,00;;R 3 350,00;R 23 417,85;R 4 435,00;R 31 002,44;R 3 988,00;R 5,76;R 4 150,00;R 5,99;R 3 880,00;R 5,60;R 4 200,00;R 6,06;R 4 494,00;R 6,49;R 5 590,00;R 8,07;6,22;6,59;6,93;7,38;7,12;7,65;;7,39;7,48;8,14
38,000;50,000;BBB;0,001900;3.0 - 5.4;R 4 010,00;R 7,62;R 4 070,00;R 7,73;R 4 059,00;R 7,71;R 4 448,00;R 8,45;;;R 5 100,00;R 9,69;;R 0,00;;R 0,00;R 3 910,00;R 7,43;R 4 070,00;R 7,73;R 4 235,00;R 8,05;R 4 450,00;R 8,46;R 4 675,00;R 8,88;R 4 830,00;R 9,18;R 5 230,00;R 9,94;R 5 440,00;R 10,34;R 4 311,00;R 8,19;R 4 416,00;R 8,39;R 4 413,00;R 8,38;R 4 818,00;R 9,15;R 5 040,00;R 9,58;R 4 012,00;R 7,62;R 4 610,00;R 8,76; R4 794,00 ;R 9,11; R4 794,00 ;R 9,11;R 2 500,00;R 4,75;R 5 305,00;R 10,08;;R 0,00;R 3 384,00;R 6,43;R 4 702,50;R 8,93;R 4 950,00;R 9,41;R 5 350,00;;R 5 600,00;R 10,64;R 5 700,00;R 10,83;R 4 740,00;R 9,01;R 4 880,00;;R 3 350,00;R 28 107,84;R 4 330,00;R 36 330,43;R 3 988,00;R 7,58;;;;;;;;;R 5 539,00;R 10,52;8,16;8,65;9,09;9,68;8,88;9,55;;9,32;10,20;10,68
38,000;50,000;BBB;0,001900;6.0 - 6.6;R 4 130,00;R 7,85;R 4 285,00;R 8,14;R 4 294,00;R 8,16;R 4 729,00;R 8,99;;;R 5 100,00;R 9,69;;R 0,00;;R 0,00;R 3 910,00;R 7,43;R 4 070,00;R 7,73;R 4 295,00;R 8,16;R 4 510,00;R 8,57;R 4 740,00;R 9,01;R 4 900,00;R 9,31;R 5 305,00;R 10,08;R 5 520,00;R 10,49;R 4 623,00;R 8,78;R 4 827,00;R 9,17;R 4 818,00;R 9,15;R 5 271,00;R 10,01;R 5 564,00;R 10,57;R 4 012,00;R 7,62;R 4 735,00;R 9,00; R4 924,00 ;R 9,36; R5 175,00 ;R 9,83;R 4 485,00;R 8,52;R 5 305,00;R 10,08;;R 0,00;R 4 371,00;R 8,30;R 4 702,50;R 8,93;R 4 950,00;R 9,41;R 5 400,00;;R 5 700,00;R 10,83;R 5 985,00;R 11,37;R 4 740,00;R 9,01;R 4 880,00;;R 3 350,00;R 30 723,86;R 4 435,00;R 40 674,72;R 3 988,00;R 7,58;;;;;;;;;R 5 681,00;R 10,79;8,16;8,65;9,09;9,68;9,01;9,69;;9,73;10,20;10,68
38,000;76,000;S5;0,002888;0.9 - 2.7;R 3 050,00;R 8,81;R 3 140,00;R 9,07;R 3 072,00;R 8,87;R 3 393,00;R 9,80;R 3 605,00;R 10,41;R 3 600,00;R 10,40;R 3 692,00;R 10,66;R 3 912,00;R 11,30;R 3 015,00;R 8,71;R 3 140,00;R 9,07;R 3 065,00;R 8,85;R 3 220,00;R 9,30;R 3 385,00;R 9,78;R 3 495,00;R 10,09;R 3 785,00;R 10,93;R 3 940,00;R 11,38;R 3 420,00;R 9,88;R 3 498,00;R 10,10;R 3 506,00;R 10,13;R 3 806,00;R 10,99;R 3 978,00;R 11,49;R 3 100,00;R 8,95;R 3 775,00;R 10,90;R 3 926,00;R 11,34;R 4 125,00;R 11,91;R 3 040,00;R 8,78;R 3 615,00;R 10,44;R 3 745,00;R 10,82;R 3 102,00;R 8,96;R 3 325,00;R 9,60;R 3 500,00;R 10,11;R 3 800,00;;R 3 950,00;R 11,41;R 3 990,00;R 11,52;R 3 660,00;R 10,57;R 3 770,00;;R 2 630,00;R 26 568,85;R 3 455,00;R 34 903,18;;;;;R 2 950,00;R 8,52;;;;;R 4 578,00;R 13,22;9,22;9,78;10,27;10,94;10,41;11,19;;11,54;11,94;12,54
38,000;76,000;S5;0,002888;3.0 - 5.4;R 3 340,00;R 9,65;R 3 420,00;R 9,88;R 3 290,00;R 9,50;R 3 610,00;R 10,43;R 3 945,00;R 11,39;R 3 936,00;R 11,37;R 4 068,00;R 11,75;R 4 156,00;R 12,00;R 3 680,00;R 10,63;R 3 830,00;R 11,06;R 3 771,00;R 10,89;R 3 962,00;R 11,44;R 4 164,00;R 12,03;R 4 085,00;R 11,80;R 4 335,00;R 12,52;R 4 510,00;R 13,02;R 3 877,00;R 11,20;R 3 969,00;R 11,46;R 3 971,00;R 11,47;R 4 325,00;R 12,49;R 4 522,00;R 13,06;R 3 760,00;R 10,86;R 4 345,00;R 12,55;R 4 519,00;R 13,05;R 4 745,00;R 13,70;R 3 630,00;R 10,48;R 4 310,00;R 12,45;R 4 157,00;R 12,01;R 3 760,00;R 10,86;R 3 990,00;R 11,52;R 4 200,00;R 12,13;R 4 600,00;;R 4 850,00;R 14,01;R 4 940,00;R 14,27;R 4 240,00;R 12,25;R 4 360,00;;R 2 840,00;R 32 553,42;R 3 860,00;R 44 245,14;;;;;;;R 3 650,00;R 10,54;R 3 975,00;R 11,48;R 4 882,00;R 14,10;11,12;11,78;12,38;13,19;12,03;12,93;;13,25;13,74;14,43
38,000;76,000;S5;0,002888;6.0 - 6.6;R 3 490,00;R 10,08;R 3 450,00;R 9,96;R 3 376,00;R 9,75;R 3 781,00;R 10,92;R 4 245,00;R 12,26;R 4 210,00;R 12,16;R 4 433,00;R 12,80;R 4 697,00;R 13,56;R 3 680,00;R 10,63;R 3 830,00;R 11,06;R 3 975,00;R 11,48;R 4 175,00;R 12,06;R 4 385,00;R 12,66;R 4 530,00;R 13,08;R 4 905,00;R 14,17;R 5 105,00;R 14,74;R 4 137,00;R 11,95;R 4 316,00;R 12,46;R 4 314,00;R 12,46;R 4 708,00;R 13,60;R 4 967,00;R 14,34;R 3 760,00;R 10,86;R 4 550,00;R 13,14;R 4 732,00;R 13,67;R 4 970,00;R 14,35;R 3 630,00;R 10,48;R 4 310,00;R 12,45;R 4 470,00;R 12,91;R 3 760,00;R 10,86;R 3 990,00;R 11,52;R 4 200,00;R 12,13;R 4 650,00;;R 4 900,00;R 14,15;R 5 510,00;R 15,91;R 4 240,00;R 12,25;R 4 360,00;;R 3 000,00;R 37 393,82;R 3 950,00;R 49 235,20;;;;;;;R 3 700,00;R 10,69;R 4 054,00;R 11,71;R 5 165,00;R 14,92;11,12;11,78;12,38;13,19;12,66;13,61;;14,10;14,46;15,18
38,000;102,000;S5;0,003876;0.9 - 2.7;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;R 0,00;;R 0,00;;; R3 775,00 ; R14,63 ;R 3 926,00;R 15,22;R 0,00;R 0,00;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;16,79;17,91;17,91
38,000;102,000;S5;0,003876;3.0 - 5.4;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;R 0,00;;R 0,00;;; R4 145,00 ; R16,07 ; R4 467,00 ;R 17,31; R4 530,00 ;R 17,56;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;18,91;19,66;19,66
38,000;102,000;S5;0,003876;5.7 - 6.6;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;R 0,00;;R 0,00;;; R4 295,00 ; R16,65 ; R4 467,00 ;R 17,31; R-   ;R 0,00;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;20,53;21,06;21,06
38,000;114,000;S5;0,004332;0.9 - 2.7;;;;;;;;;;;;;;R 0,00;;R 0,00;R 3 015,00;R 13,06;R 3 140,00;R 13,60;R 3 065,00;R 13,28;R 3 220,00;R 13,95;R 3 385,00;R 14,66;R 3 495,00;R 15,14;R 3 785,00;R 16,40;R 3 940,00;R 17,07;R 3 308,00;R 14,33;R 3 383,00;R 14,66;R 3 392,00;R 14,69;R 3 679,00;R 15,94;R 3 845,00;R 16,66;R 3 100,00;R 13,43;R 3 775,00;R 16,35;R 3 926,00;R 17,01;R 4 125,00;R 17,87;R 3 040,00;R 13,17;R 3 615,00;R 15,66;R 3 745,00;R 16,22;R 3 008,00;R 13,03;R 3 230,00;R 13,99;R 3 400,00;R 14,73;R 3 700,00;;R 3 850,00;R 16,68;R 3 990,00;R 17,28;R 3 710,00;R 16,07;R 3 820,00;;R 2 880,00;R 42 206,85;R 3 530,00;R 51 732,70;;;;;;;;;;;;R 0,00;14,78;15,67;16,46;17,53;14,66;15,76;;16,79;17,91;18,81
38,000;114,000;S5;0,004332;3.0 - 5.4;R 3 390,00;R 14,69;R 3 490,00;R 15,12;R 3 484,00;R 15,09;R 3 708,00;R 16,06;R 3 925,00;R 17,00;R 3 900,00;R 16,89;R 4 130,00;R 17,89;R 4 376,00;R 18,96;R 3 405,00;R 14,75;R 3 545,00;R 15,36;R 3 590,00;R 15,55;R 3 770,00;R 16,33;R 3 960,00;R 17,15;R 4 050,00;R 17,54;R 4 275,00;R 18,52;R 4 450,00;R 19,28;R 3 728,00;R 16,15;R 3 816,00;R 16,53;R 3 820,00;R 16,55;R 4 157,00;R 18,01;R 4 347,00;R 18,83;R 3 590,00;R 15,55;R 4 145,00;R 17,96;R 4 311,00;R 18,68;R 4 530,00;R 19,62;R 3 610,00;R 15,64;R 4 330,00;R 18,76;R 4 139,00;R 17,93;R 3 619,00;R 15,68;R 3 895,00;R 16,87;R 4 100,00;R 17,76;R 4 500,00;;R 4 720,00;R 20,45;R 4 655,00;R 20,17;R 4 010,00;R 17,37;R 4 130,00;;R 2 880,00;R 47 609,03;R 3 755,00;R 62 073,57;R 3 568,00;R 15,46;R 3 350,00;R 14,51;R 3 350,00;R 14,51;R 3 448,00;R 14,94;R 3 736,00;R 16,18;R 4 640,00;R 20,10;15,55;16,48;17,32;18,44;17,15;18,44;;18,91;19,66;20,64
38,000;114,000;S5;0,004332;5.7 - 6.6;R 3 550,00;R 15,38;R 3 680,00;R 15,94;R 3 540,00;R 15,34;R 3 946,00;R 17,09;R 4 265,00;R 18,48;R 4 200,00;R 18,19;R 4 463,00;R 19,33;R 4 729,00;R 20,49;R 3 405,00;R 14,75;R 3 545,00;R 15,36;R 3 765,00;R 16,31;R 3 955,00;R 17,13;R 4 155,00;R 18,00;R 4 300,00;R 18,63;R 4 655,00;R 20,17;R 4 845,00;R 20,99;R 3 976,00;R 17,22;R 4 147,00;R 17,96;R 4 147,00;R 17,96;R 4 521,00;R 19,58;R 4 769,00;R 20,66;R 3 590,00;R 15,55;R 4 295,00;R 18,61;R 4 467,00;R 19,35;R 4 695,00;R 20,34;R 3 610,00;R 15,64;R 4 330,00;R 18,76;R 4 450,00;R 19,28;R 3 619,00;R 15,68;R 3 895,00;R 16,87;R 4 100,00;R 17,76;R 4 550,00;;R 4 800,00;R 20,79;R 5 035,00;R 21,81;R 4 010,00;R 17,37;R 4 130,00;;R 2 880,00;R 51 738,64;R 3 845,00;R 69 074,67;R 3 568,00;R 15,46;R 3 350,00;R 14,51;R 3 350,00;R 14,51;R 3 550,00;R 15,38;R 3 842,00;R 16,64;R 4 871,00;R 21,10;16,00;16,95;17,81;18,97;18,48;19,87;;20,53;21,06;22,11
38,000;114,000;S7;0,004332;3.0 - 5.4;R 3 855,00;R 16,70;R 3 990,00;R 17,28;R 3 966,00;R 17,18;R 4 337,00;R 18,79;R 4 640,00;R 20,10;R 4 900,00;R 21,23;R 4 968,00;R 21,52;R 5 121,00;R 22,18;R 3 995,00;R 17,31;R 4 155,00;R 18,00;R 4 505,00;R 19,52;R 4 735,00;R 20,51;R 4 975,00;R 21,55;R 4 850,00;R 21,01;R 5 250,00;R 22,74;R 5 465,00;R 23,67;;;;;;;;R 0,00;;R 0,00;R 4 120,00;R 17,85;R 4 760,00;R 20,62;R 4 950,00;R 21,44;R 5 200,00;R 22,53;R 4 295,00;R 18,61;R 4 925,00;R 21,34;R 4 920,00;R 21,31;R 3 948,00;R 17,10;R 4 180,00;R 18,11;R 4 400,00;R 19,06;R 4 900,00;;R 5 250,00;R 22,74;;R 0,00;R 4 490,00;R 19,45;R 4 620,00;R 20,01;R 3 710,00;R 0,00;R 4 415,00;R 0,00;;;;;R 4 560,00;R 19,75;;;;;;R 0,00;18,39;19,49;21,44;24,12;21,55;23,17;;24,26;25,23;26,49
38,000;114,000;S7;0,004332;5.7 - 6.6;R 4 000,00;R 17,33;R 4 100,00;R 17,76;R 4 080,00;R 17,67;R 4 496,00;R 19,48;R 4 926,00;R 21,34;R 4 900,00;R 21,23;R 5 198,00;R 22,52;R 5 485,00;R 23,76;R 3 995,00;R 17,31;R 4 155,00;R 18,00;R 4 505,00;R 19,52;R 4 735,00;R 20,51;R 4 975,00;R 21,55;R 4 850,00;R 21,01;R 5 250,00;R 22,74;R 5 465,00;R 23,67;;;;;;;;R 0,00;;R 0,00;R 4 120,00;R 17,85;R 4 760,00;R 20,62;R 4 950,00;R 21,44;R 5 200,00;R 22,53;R 4 295,00;R 18,61;R 4 925,00;R 21,34;R 5 290,00;R 22,92;R 3 948,00;R 17,10;R 4 180,00;R 18,11;R 4 400,00;R 19,06;R 4 950,00;;R 5 300,00;R 22,96;;R 0,00;R 4 490,00;R 19,45;R 4 620,00;R 20,01;R 3 710,00;R 0,00;R 4 520,00;R 0,00;;;;;R 4 560,00;R 19,75;;;;;;R 0,00;18,39;19,49;21,44;24,12;21,55;23,17;;24,26;25,23;26,49
